Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
2013-10-14,48.31,54.83,47.91,54.22,54.22,374408000,51.402499999999996,47.831250000000004
2013-10-21,54.68,54.81,51.13,51.95,51.95,290506000,51.58,49.16375
2013-10-28,51.54,52.09,46.5,49.75,49.75,646530000,51.2575,49.88875
2013-11-04,49.37,50.45,47.25,47.53,47.53,392954000,50.8625,50.29125
2013-11-11,47.04,49.57,45.73,49.01,49.01,345921000,49.559999999999995,50.481249999999996
2013-11-18,48.47,48.84,45.72,46.23,46.23,290876000,48.129999999999995,49.855
2013-11-25,46.36,47.21,43.55,47.01,47.01,232527900,47.44499999999999,49.35124999999999
2013-12-02,46.9,49.39,46.26,47.94,47.94,230543000,47.54749999999999,49.20499999999999
2013-12-09,48.09,53.5,47.74,53.32,53.32,345675000,48.62499999999999,49.09249999999999
2013-12-16,53.25,55.89,52.91,55.12,55.12,569450200,50.8475,49.48874999999999
2013-12-23,55.5,58.58,55.25,55.44,55.44,260481800,52.955,50.19999999999999
2013-12-30,54.93,55.65,53.43,54.56,54.56,192824900,54.61,51.078749999999985
2014-01-06,54.42,58.96,54.05,57.94,57.94,337445200,55.765,52.194999999999986
2014-01-13,57.91,58.57,55.38,56.3,56.3,209568900,56.06,53.453749999999985
2014-01-20,56.6,59.31,54.4,54.45,54.45,213174600,55.8125,54.383749999999985
2014-01-27,54.73,63.37,51.85,62.57,62.57,453084400,57.815,56.212499999999984
2014-02-03,63.03,64.57,60.7,64.32,64.32,275328000,59.41,57.587499999999984
2014-02-10,64.3,67.58,63.35,67.09,67.09,235230400,62.1075,59.08374999999998
2014-02-17,66.94,70.11,65.73,68.59,68.59,307758300,65.6425,60.727499999999985
2014-02-24,68.74,71.44,67.38,68.46,68.46,292457400,67.115,62.46499999999998
2014-03-03,66.96,71.97,66.51,69.8,69.8,258358800,68.485,63.947499999999984
2014-03-10,70.77,72.59,67.46,67.72,67.72,270938400,68.64249999999998,65.37499999999999
2014-03-17,68.18,69.6,66.18,67.24,67.24,241443900,68.30499999999998,66.97374999999998
2014-03-24,67.19,67.36,57.98,60.01,60.01,431687900,66.19249999999998,66.65374999999997
2014-03-31,60.78,63.91,56.32,56.75,56.75,387652400,62.92999999999998,65.70749999999998
2014-04-07,55.9,63.18,55.44,58.53,58.53,493979000,60.63249999999997,64.63749999999997
2014-04-14,60.09,60.58,55.88,58.94,58.94,347762000,58.557499999999976,63.43124999999996
2014-04-21,59.46,63.65,57.57,57.71,57.71,448174700,57.98249999999997,62.08749999999997
2014-04-28,58.05,62.28,54.66,60.46,60.46,396026000,58.90999999999997,60.919999999999966
2014-05-05,59.67,61.35,56.26,57.24,57.24,294380000,58.58749999999997,59.60999999999996
2014-05-12,57.98,60.89,57.31,58.02,58.02,249276000,58.35749999999997,58.45749999999995
2014-05-19,57.89,61.48,57.57,61.35,61.35,248451000,59.26749999999998,58.62499999999996
