Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20,MA60,MA120,MA240
2012-12-06,27.68,27.75,26.82,26.97,26.97,46001500,27.435999999999996,26.694999999999965,24.22550000000001,22.027833333333337,23.611416666666663,
2012-12-07,27.07,27.78,26.84,27.49,27.49,51751900,27.333999999999996,27.043999999999965,24.60050000000001,22.16216666666667,23.59041666666666,
2012-12-10,27.17,28.17,27.1,27.84,27.84,50608500,27.494,27.233999999999963,25.032000000000014,22.277333333333335,23.56066666666666,
2012-12-11,28.07,28.24,27.66,27.98,27.98,77099100,27.597999999999995,27.416999999999966,25.427500000000013,22.398500000000002,23.527916666666663,
2012-12-12,28.0,28.14,27.37,27.58,27.58,46704200,27.571999999999996,27.538999999999966,25.813500000000012,22.4915,23.494416666666663,
2012-12-13,27.59,28.75,27.43,28.24,28.24,81051600,27.826,27.630999999999965,26.10750000000001,22.6035,23.464416666666658,
2012-12-14,28.18,28.33,26.76,26.81,26.81,91631600,27.689999999999998,27.511999999999965,26.339500000000008,22.685833333333335,23.412416666666658,
2012-12-17,26.77,27.0,26.32,26.75,26.75,57742500,27.471999999999998,27.482999999999965,26.499000000000013,22.7435,23.368166666666657,
2012-12-18,26.96,27.91,26.9,27.71,27.71,60512900,27.418,27.507999999999964,26.738500000000016,22.82883333333334,23.32324999999999,
2012-12-19,27.83,28.22,26.95,27.41,27.41,61390300,27.384000000000004,27.47799999999997,26.954000000000015,22.904666666666675,23.283083333333323,
2012-12-20,27.49,27.6,27.13,27.36,27.36,35574800,27.208000000000006,27.516999999999975,27.106000000000012,23.01416666666667,23.24974999999999,
2012-12-21,26.66,27.01,26.12,26.26,26.26,54555200,27.098000000000003,27.39399999999997,27.219000000000012,23.11383333333334,23.20941666666666,
2012-12-24,26.5,26.96,26.2,26.93,26.93,28230100,27.134000000000004,27.302999999999976,27.268500000000007,23.21900000000001,23.17741666666666,
2012-12-26,27.03,27.18,26.38,26.51,26.51,33175400,26.894,27.15599999999997,27.286500000000007,23.32216666666668,23.13833333333333,
2012-12-27,26.55,26.8,25.52,26.05,26.05,43481700,26.622000000000003,27.002999999999975,27.271000000000004,23.39533333333334,23.093166666666665,
2012-12-28,25.48,26.11,25.15,25.91,25.91,56574800,26.332000000000004,26.769999999999975,27.200499999999998,23.460666666666675,23.044666666666664,
2012-12-31,26.2,26.99,26.11,26.62,26.62,60374500,26.404000000000007,26.750999999999976,27.1315,23.533166666666673,22.998416666666664,
2013-01-02,27.44,28.18,27.42,28.0,28.0,69846400,26.618000000000006,26.875999999999976,27.1795,23.63600000000001,22.969499999999996,
2013-01-03,27.88,28.47,27.59,27.77,27.77,63140600,26.87000000000001,26.881999999999977,27.195,23.733000000000008,22.942833333333333,
2013-01-04,28.01,28.93,27.83,28.76,28.76,72715400,27.412000000000006,27.016999999999975,27.247499999999995,23.86383333333334,22.92575,
2013-01-07,28.69,29.79,28.65,29.42,29.42,83781800,28.114000000000004,27.222999999999974,27.369999999999994,24.01416666666667,22.91491666666667,
2013-01-08,29.51,29.6,28.86,29.06,29.06,45871300,28.602000000000004,27.502999999999975,27.44849999999999,24.16133333333334,22.92166666666667,
2013-01-09,29.67,30.6,29.49,30.59,30.59,104787700,29.120000000000005,27.86899999999997,27.58599999999999,24.343833333333336,22.942500000000003,
2013-01-10,30.6,31.45,30.28,31.3,31.3,95316400,29.826000000000004,28.347999999999974,27.75199999999999,24.536333333333335,22.960750000000004,
