Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
1982-04-05,0.32,0.32,0.31,0.31,0.25,52830400.0,0.30500000000000066,0.3062499999999998
1982-04-12,0.31,0.31,0.29,0.3,0.24,127881600.0,0.30500000000000066,0.30249999999999977
1982-04-19,0.3,0.3,0.27,0.27,0.22,73936800.0,0.30000000000000066,0.29499999999999976
1982-04-26,0.28,0.28,0.26,0.26,0.21,146764800.0,0.28500000000000064,0.2899999999999998
1982-05-03,0.27,0.29,0.27,0.29,0.23,92702400.0,0.28000000000000064,0.2924999999999998
1982-05-10,0.29,0.29,0.26,0.26,0.21,88956000.0,0.27000000000000063,0.28749999999999987
1982-05-17,0.26,0.26,0.25,0.25,0.2,84996800.0,0.2650000000000006,0.28249999999999986
1982-05-24,0.26,0.26,0.25,0.25,0.2,44318400.0,0.2625000000000006,0.2737499999999999
1982-05-31,0.25,0.25,0.23,0.23,0.19,39485600.0,0.2475000000000006,0.2637499999999999
1982-06-07,0.23,0.24,0.23,0.24,0.19,47863200.0,0.2425000000000006,0.25624999999999987
1982-06-14,0.24,0.24,0.23,0.23,0.18,38992800.0,0.2375000000000006,0.25124999999999986
1982-06-21,0.23,0.25,0.23,0.24,0.19,42420000.0,0.2350000000000006,0.2487499999999999
1982-06-28,0.24,0.24,0.21,0.21,0.17,60608800.0,0.2300000000000006,0.2387499999999999
1982-07-05,0.21,0.21,0.2,0.2,0.16,102704000.0,0.22000000000000058,0.23124999999999993
1982-07-12,0.21,0.24,0.21,0.24,0.19,97921600.0,0.2225000000000006,0.22999999999999993
1982-07-19,0.24,0.26,0.24,0.25,0.2,64674400.0,0.2250000000000006,0.22999999999999993
1982-07-26,0.24,0.24,0.23,0.24,0.19,60793600.0,0.2325000000000006,0.2312499999999999
1982-08-02,0.25,0.25,0.22,0.22,0.17,108679200.0,0.2375000000000006,0.22874999999999993
1982-08-09,0.22,0.24,0.22,0.23,0.19,73707200.0,0.2350000000000006,0.22874999999999995
1982-08-16,0.24,0.27,0.24,0.26,0.21,78422400.0,0.2375000000000006,0.23124999999999998
1982-08-23,0.27,0.32,0.27,0.3,0.24,222941600.0,0.2525000000000006,0.2425
1982-08-30,0.31,0.33,0.31,0.33,0.26,120881600.0,0.28000000000000064,0.25875
1982-09-06,0.31,0.33,0.31,0.32,0.26,68342400.0,0.30250000000000066,0.26874999999999993
1982-09-13,0.33,0.34,0.32,0.32,0.25,91638400.0,0.31750000000000067,0.2774999999999999
1982-09-20,0.32,0.34,0.32,0.32,0.26,124297600.0,0.3225000000000007,0.28749999999999987
1982-09-27,0.32,0.33,0.32,0.33,0.26,77543200.0,0.3225000000000007,0.30124999999999985
1982-10-04,0.33,0.42,0.32,0.42,0.33,227578400.0,0.34750000000000064,0.32499999999999984
1982-10-11,0.42,0.44,0.4,0.41,0.32,273700000.0,0.3700000000000006,0.3437499999999999
1982-10-18,0.41,0.48,0.41,0.46,0.37,212122400.0,0.4050000000000006,0.3637499999999999
1982-10-25,0.46,0.46,0.42,0.45,0.36,219912000.0,0.4350000000000006,0.3787499999999999
1982-11-01,0.45,0.57,0.45,0.54,0.43,280229600.0,0.46500000000000064,0.40624999999999994
1982-11-08,0.54,0.61,0.51,0.58,0.46,189005600.0,0.5075000000000006,0.43875
1982-11-15,0.58,0.58,0.53,0.55,0.44,175184800.0,0.5300000000000007,0.46749999999999997
1982-11-22,0.55,0.55,0.5,0.52,0.41,91369600.0,0.5475000000000007,0.49124999999999996
1982-11-29,0.52,0.6,0.5,0.57,0.45,157074400.0,0.5550000000000006,0.51
1982-12-06,0.57,0.62,0.52,0.52,0.41,197080800.0,0.5400000000000006,0.5237499999999999
1982-12-13,0.52,0.54,0.49,0.54,0.43,179530400.0,0.5375000000000005,0.53375
1982-12-20,0.54,0.57,0.53,0.57,0.45,84481600.0,0.5500000000000005,0.54875
1982-12-27,0.57,0.6,0.53,0.53,0.42,115617600.0,0.5400000000000006,0.5475
1983-01-03,0.53,0.54,0.49,0.49,0.39,186984000.0,0.5325000000000005,0.53625
1983-01-10,0.49,0.59,0.49,0.59,0.47,180157600.0,0.5450000000000005,0.54125
1983-01-17,0.59,0.7,0.58,0.67,0.53,433686400.0,0.5700000000000005,0.56
1983-01-24,0.67,0.75,0.62,0.73,0.58,296928800.0,0.6200000000000006,0.5800000000000001
1983-01-31,0.73,0.81,0.72,0.79,0.62,283225600.0,0.6950000000000005,0.61375
1983-02-07,0.79,0.84,0.73,0.83,0.66,233027200.0,0.7550000000000006,0.65
1983-02-14,0.83,0.83,0.76,0.81,0.64,152247200.0,0.7900000000000006,0.6799999999999999
1983-02-21,0.81,0.87,0.81,0.83,0.66,133750400.0,0.8150000000000006,0.7174999999999999
1983-02-28,0.83,0.84,0.77,0.8,0.63,165463200.0,0.8175000000000006,0.7562499999999999
1983-03-07,0.8,0.8,0.74,0.76,0.6,193256000.0,0.8000000000000005,0.7774999999999999
1983-03-14,0.75,0.78,0.72,0.77,0.61,122046400.0,0.7900000000000005,0.7899999999999998
1983-03-21,0.77,0.81,0.75,0.77,0.61,126576800.0,0.7750000000000005,0.7949999999999997
1983-03-28,0.77,0.79,0.75,0.75,0.6,87813600.0,0.7625000000000004,0.7899999999999997
1983-04-04,0.75,0.75,0.69,0.7,0.56,189812000.0,0.7475000000000005,0.7737499999999997
1983-04-11,0.7,0.82,0.69,0.82,0.65,211416800.0,0.7600000000000005,0.7749999999999997
1983-04-18,0.82,0.94,0.82,0.91,0.72,258753600.0,0.7950000000000005,0.7849999999999997
1983-04-25,0.91,0.92,0.86,0.9,0.71,174725600.0,0.8325000000000005,0.7974999999999998
1983-05-02,0.9,1.0,0.85,0.98,0.78,143208800.0,0.9025000000000005,0.8249999999999997
1983-05-09,0.98,0.99,0.94,0.95,0.75,80931200.0,0.9350000000000006,0.8474999999999997
1983-05-16,0.95,1.02,0.91,1.02,0.8,149234400.0,0.9625000000000006,0.8787499999999997
1983-05-23,1.02,1.09,1.0,1.06,0.84,136343200.0,1.0025000000000004,0.9174999999999998
1983-05-30,1.06,1.1,1.01,1.1,0.87,71898400.0,1.0325000000000002,0.9674999999999997
1983-06-06,1.1,1.13,1.04,1.06,0.84,94634400.0,1.0600000000000003,0.9974999999999996
1983-06-13,1.06,1.06,0.95,1.0,0.79,180521600.0,1.0550000000000002,1.0087499999999996
1983-06-20,1.0,1.01,0.94,0.95,0.75,146910400.0,1.0275000000000003,1.0149999999999995
1983-06-27,0.95,0.95,0.82,0.88,0.69,262354400.0,0.9725000000000003,1.0024999999999995
1983-07-04,0.88,0.88,0.82,0.83,0.65,84397600.0,0.9150000000000001,0.9874999999999995
1983-07-11,0.83,0.86,0.79,0.79,0.63,114996000.0,0.8625000000000003,0.9587499999999995
1983-07-18,0.79,0.83,0.73,0.78,0.62,247867200.0,0.8200000000000003,0.9237499999999994
1983-07-25,0.78,0.78,0.6,0.62,0.49,284132800.0,0.7550000000000003,0.8637499999999994
1983-08-01,0.62,0.65,0.57,0.6,0.48,220365600.0,0.6975000000000003,0.8062499999999992
